model,split,label,layer,n,mean,median,q25,q75
shikra_7b,train,0,1,3135,0.10682041198015213,0.10048577189445496,0.08654142916202545,0.1197834312915802
shikra_7b,train,0,2,3135,0.11868434399366379,0.11488673090934753,0.10361816361546516,0.12994368374347687
shikra_7b,train,0,3,3135,0.11908125132322311,0.11642929166555405,0.10297324508428574,0.1322631686925888
shikra_7b,train,0,4,3135,0.560857355594635,0.5636169910430908,0.5291412770748138,0.5977050364017487
shikra_7b,train,0,5,3135,0.5355234146118164,0.5373563766479492,0.5049387812614441,0.5675220489501953
shikra_7b,train,0,6,3135,0.5630753636360168,0.5655389428138733,0.5296993851661682,0.5983338356018066
shikra_7b,train,0,7,3135,0.5318308472633362,0.5323918461799622,0.4972856342792511,0.5658904016017914
shikra_7b,train,0,8,3135,0.5383753776550293,0.5415586829185486,0.5066314935684204,0.573819637298584
shikra_7b,train,0,9,3135,0.5169206857681274,0.5177057385444641,0.4840851128101349,0.549824595451355
shikra_7b,train,0,10,3135,0.5075499415397644,0.5068196654319763,0.4733716547489166,0.5421123802661896
shikra_7b,train,0,11,3135,0.4862271845340729,0.4839071035385132,0.4472038894891739,0.5249471366405487
shikra_7b,train,0,12,3135,0.4419705271720886,0.4423125982284546,0.3994479924440384,0.48330023884773254
shikra_7b,train,0,13,3135,0.4942033290863037,0.49299556016921997,0.4571407586336136,0.5307283699512482
shikra_7b,train,0,14,3135,0.5356028079986572,0.5374268293380737,0.4985172152519226,0.5734114944934845
shikra_7b,train,0,15,3135,0.47937917709350586,0.48058897256851196,0.443059042096138,0.5149220824241638
shikra_7b,train,0,16,3135,0.5136021971702576,0.516771137714386,0.47568845748901367,0.5574962794780731
shikra_7b,train,0,17,3135,0.4973459243774414,0.49841153621673584,0.46387986838817596,0.5327593386173248
shikra_7b,train,0,18,3135,0.5095210075378418,0.5108558535575867,0.4749750941991806,0.5452510118484497
shikra_7b,train,0,19,3135,0.5996628403663635,0.6086053252220154,0.5666578710079193,0.643947958946228
shikra_7b,train,0,20,3135,0.5765411853790283,0.5811246633529663,0.5414276719093323,0.6162842810153961
shikra_7b,train,0,21,3135,0.5547654628753662,0.5604315400123596,0.5252734422683716,0.5907109379768372
shikra_7b,train,0,22,3135,0.6127061247825623,0.6185161471366882,0.5800307393074036,0.6532279551029205
shikra_7b,train,0,23,3135,0.5721976161003113,0.574993371963501,0.5381887257099152,0.610314816236496
shikra_7b,train,0,24,3135,0.61418616771698,0.6204517483711243,0.5773683190345764,0.656761884689331
shikra_7b,train,0,25,3135,0.6042841672897339,0.6063412427902222,0.5673547387123108,0.6439861953258514
shikra_7b,train,0,26,3135,0.5519939661026001,0.5532880425453186,0.5132052004337311,0.592416524887085
shikra_7b,train,0,27,3135,0.5613481402397156,0.5626175403594971,0.5220402181148529,0.6005196869373322
shikra_7b,train,0,28,3135,0.5888047218322754,0.5907855033874512,0.5508892238140106,0.6284961104393005
shikra_7b,train,0,29,3135,0.6173080801963806,0.6211321353912354,0.5790576934814453,0.6605120599269867
shikra_7b,train,0,30,3135,0.5302571058273315,0.5290809273719788,0.49053026735782623,0.5679644644260406
