model,feature,seed,input_dim,best_epoch,epochs,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
internvl_2_5_8b,prompt_within_source_kappa,43,32,51,71,0.8558922558922559,0.543679440039328,0.8562781954887219,0.49208738575536504
internvl_2_5_8b,prompt_within_source_kappa,44,32,58,78,0.857620320855615,0.5510611117999294,0.8514777327935221,0.4847970839246511
internvl_2_5_8b,prompt_within_source_kappa,45,32,54,74,0.8565953654188949,0.5592397587108828,0.8532706766917293,0.4841459285118355
internvl_2_5_8b,generation_within_source_kappa,43,32,43,63,0.8035204991087344,0.42131201176282745,0.7923626373626373,0.4133940745925343
internvl_2_5_8b,generation_within_source_kappa,44,32,39,59,0.7908991879580116,0.4062057779891686,0.7910208212839792,0.4168886219843084
internvl_2_5_8b,generation_within_source_kappa,45,32,29,49,0.7873786888492771,0.4170322384288087,0.7968565644881433,0.4323018235463927
internvl_2_5_8b,b1_residual_visual_generation_balance,43,32,17,37,0.8063576945929888,0.4554745177322907,0.8207027183342972,0.4738811898774206
internvl_2_5_8b,b1_residual_visual_generation_balance,44,32,23,43,0.8056545850663498,0.46435777626852903,0.8226286871023712,0.4673274541199588
internvl_2_5_8b,b1_residual_visual_generation_balance,45,32,20,40,0.805976430976431,0.45789731426199304,0.8281289762868711,0.4813254578696429
internvl_2_5_8b,b1_delta_residual_generation_cos,43,32,17,37,0.8269756387403446,0.48178075517094476,0.8277241179872759,0.48521985040555715
internvl_2_5_8b,b1_delta_residual_generation_cos,44,32,30,50,0.8295801148742326,0.5124845851267659,0.8333111625216889,0.5059581424398647
internvl_2_5_8b,b1_delta_residual_generation_cos,45,32,17,37,0.8263220439691028,0.49118439070269854,0.8249132446500866,0.4711598086368779
internvl_2_5_8b,visual_context_relative_change,43,32,19,39,0.8069766290354525,0.47137207681091975,0.811148062463852,0.46467371585092593
internvl_2_5_8b,visual_context_relative_change,44,32,15,35,0.8114131511190336,0.48734410667977557,0.8153007518796993,0.4683293261626754
internvl_2_5_8b,visual_context_relative_change,45,32,17,37,0.808065953654189,0.471911053796167,0.8100202429149799,0.4508163670669238
internvl_2_5_8b,five_concat,43,160,10,30,0.878886908298673,0.6092206370425303,0.8738953152111049,0.5589501214777476
internvl_2_5_8b,five_concat,44,160,16,36,0.8822291542879779,0.6221351140819307,0.8779728166570271,0.5701010715315441
internvl_2_5_8b,five_concat,45,160,10,30,0.8783422459893049,0.5940185768099276,0.871338924233661,0.5544867206535037
internvl_2_5_8b,generation_kappa_plus_position,43,33,43,63,0.7987225193107546,0.4148115008024042,0.8041266628108732,0.4287490876372806
internvl_2_5_8b,generation_kappa_plus_position,44,33,32,52,0.7997524262230145,0.41258507385014376,0.8058155002891846,0.4357054054808507
internvl_2_5_8b,generation_kappa_plus_position,45,33,46,66,0.802757971875619,0.4112519107366359,0.8038895315211105,0.4473728265968186
