model,feature,seed,input_dim,best_epoch,epochs,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
qwen2_5_vl_7b,prompt_within_source_kappa,43,28,38,58,0.8156903982967232,0.40412697027878075,0.8341068537506745,0.36687535912463004
qwen2_5_vl_7b,prompt_within_source_kappa,44,28,45,65,0.8221815443734747,0.42145040317301286,0.8335363503199444,0.3578182770487119
qwen2_5_vl_7b,prompt_within_source_kappa,45,28,68,88,0.8189879005037128,0.4148690492759257,0.8355639503507826,0.359085733604908
qwen2_5_vl_7b,generation_within_source_kappa,43,28,30,50,0.8176637067040556,0.3645800160412637,0.8115180016960913,0.2984158636410677
qwen2_5_vl_7b,generation_within_source_kappa,44,28,38,58,0.8160019733084073,0.3543628060632371,0.8123968853596485,0.30998663997649906
qwen2_5_vl_7b,generation_within_source_kappa,45,28,30,50,0.8235706496338995,0.3634508498196444,0.8130136458253026,0.29465699875449736
qwen2_5_vl_7b,b1_residual_visual_generation_balance,43,28,22,42,0.8180531754686607,0.36889949126579125,0.8131678359417162,0.3760133347713688
qwen2_5_vl_7b,b1_residual_visual_generation_balance,44,28,21,41,0.8173131848159109,0.3470567378200526,0.8093439210546604,0.35846690821165444
qwen2_5_vl_7b,b1_residual_visual_generation_balance,45,28,28,48,0.824881861141403,0.37326870143590835,0.8150489553619613,0.38231188216646095
qwen2_5_vl_7b,b1_delta_residual_generation_cos,43,28,21,41,0.822246455834242,0.3595047786456768,0.8425873101534191,0.31723853712107963
qwen2_5_vl_7b,b1_delta_residual_generation_cos,44,28,36,56,0.8308796801163213,0.38124450132663207,0.8484465345771335,0.34440856289514543
qwen2_5_vl_7b,b1_delta_residual_generation_cos,45,28,28,48,0.8234927558809784,0.3611566318738488,0.8440058592244236,0.32824547798818593
qwen2_5_vl_7b,visual_context_relative_change,43,28,25,45,0.8007283065898115,0.37059474281186083,0.7908411070850359,0.30690140651996134
qwen2_5_vl_7b,visual_context_relative_change,44,28,15,35,0.8006309393986603,0.35421284157257943,0.7849047876031147,0.3079704680169127
qwen2_5_vl_7b,visual_context_relative_change,45,28,27,47,0.8032923092901283,0.3568002702221107,0.788713283478529,0.31671354045474237
qwen2_5_vl_7b,five_concat,43,140,12,32,0.85429973516124,0.42206391433096585,0.8588081104001234,0.40597808622114
qwen2_5_vl_7b,five_concat,44,140,9,29,0.8481071818040193,0.404741572479248,0.8560172692930381,0.4052248481926284
qwen2_5_vl_7b,five_concat,45,140,9,29,0.8474840317806511,0.41798563663207733,0.8513761467889908,0.4191858474636285
qwen2_5_vl_7b,generation_kappa_plus_position,43,29,32,52,0.8127044711014177,0.34150773478361895,0.819065607894534,0.3153474179261521
qwen2_5_vl_7b,generation_kappa_plus_position,44,29,15,35,0.8057459625071403,0.32897043262549985,0.8170996839102614,0.3044826707186022
qwen2_5_vl_7b,generation_kappa_plus_position,45,29,19,39,0.8070571740146439,0.3325533515359462,0.8245008094981112,0.33149336463740925
