model,feature,seed,input_dim,best_epoch,epochs,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
qwen3_vl_8b,prompt_within_source_kappa,43,36,27,47,0.8410021012173168,0.5000589379641331,0.8758793388429753,0.5796543686112813
qwen3_vl_8b,prompt_within_source_kappa,44,36,29,49,0.8362005591669224,0.4873483393970212,0.875097520661157,0.5789724860218189
qwen3_vl_8b,prompt_within_source_kappa,45,36,28,48,0.8376187361438321,0.5001580370981769,0.8760793388429753,0.5759959679013512
qwen3_vl_8b,generation_within_source_kappa,43,36,38,58,0.8181115671145018,0.49226066828888004,0.8391900826446281,0.5302723679136737
qwen3_vl_8b,generation_within_source_kappa,44,36,38,58,0.8172143531087017,0.4931107170836841,0.84,0.5342521012249458
qwen3_vl_8b,generation_within_source_kappa,45,36,35,55,0.8210752675723704,0.4917267355379412,0.838109090909091,0.5332613753724933
qwen3_vl_8b,b1_residual_visual_generation_balance,43,36,41,61,0.8323772698067227,0.520884188260569,0.8492033057851239,0.5846361562424741
qwen3_vl_8b,b1_residual_visual_generation_balance,44,36,34,54,0.836220818838021,0.5287421931741741,0.8442148760330579,0.574971352683085
qwen3_vl_8b,b1_residual_visual_generation_balance,45,36,37,57,0.8410021012173168,0.5475396728787603,0.846393388429752,0.577423542099312
qwen3_vl_8b,b1_delta_residual_generation_cos,43,36,29,49,0.865247139045017,0.5887290422285072,0.8467239669421488,0.5469978155868008
qwen3_vl_8b,b1_delta_residual_generation_cos,44,36,48,68,0.8640894435536621,0.5816559233037226,0.8468132231404958,0.5551337281157127
qwen3_vl_8b,b1_delta_residual_generation_cos,45,36,49,69,0.8630185752241588,0.5774439109086127,0.8458347107438017,0.5443962731581212
qwen3_vl_8b,visual_context_relative_change,43,36,29,49,0.8454679115752183,0.5641942890426627,0.8376165289256199,0.520430694836547
qwen3_vl_8b,visual_context_relative_change,44,36,28,48,0.8480177358949276,0.562816431266507,0.8336297520661158,0.4819240396599141
qwen3_vl_8b,visual_context_relative_change,45,36,45,65,0.8487297186221109,0.573637844081967,0.8380595041322314,0.5239891681822689
qwen3_vl_8b,five_concat,43,180,14,34,0.9001748120191946,0.6558113560337628,0.905619834710744,0.6658949068482459
qwen3_vl_8b,five_concat,44,180,15,35,0.8966756773965744,0.6560798564536252,0.9078743801652893,0.6652691025368725
qwen3_vl_8b,five_concat,45,180,17,37,0.8998014552232326,0.6484683994043198,0.909609917355372,0.677424474811562
qwen3_vl_8b,generation_kappa_plus_position,43,37,46,66,0.8178771337775025,0.48705269683066704,0.8402380165289256,0.5312607450156956
qwen3_vl_8b,generation_kappa_plus_position,44,37,56,76,0.8227712914672054,0.4977634590044273,0.8417884297520661,0.5296379853968031
qwen3_vl_8b,generation_kappa_plus_position,45,37,45,65,0.8193893735130848,0.4921304719107682,0.837398347107438,0.5289308226475294
