model,head,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,svar_native,0.8733739367306557,0.0022135577124323207,0.4705651882800607,0.006626181974365109
qwen2_5_vl_7b,metatoken_lr,0.8339372446226196,0.0,0.4408465141072135,0.0
qwen2_5_vl_7b,metatoken_gb,0.8272865109346492,0.00022532634560968999,0.3897540651391032,0.010005937748602015
llava_1_5_7b,svar_native,0.9044476072163369,0.00035734894091844527,0.7096409404052854,0.005276662232630245
llava_1_5_7b,metatoken_lr,0.8834624526806939,1.1102230246251565e-16,0.6736410172037169,0.0
llava_1_5_7b,metatoken_gb,0.8861345058413462,0.00039182228357201293,0.6688174426262191,0.0005741138740575243
qwen3_vl_8b,svar_native,0.8895129476584023,0.002272175774142073,0.6265796967484444,0.0038729142631544985
qwen3_vl_8b,metatoken_lr,0.8224264462809917,0.0,0.4574226057244557,0.0
qwen3_vl_8b,metatoken_gb,0.8365553719008263,0.00024242925113778397,0.5276037523001184,0.002300675064368333
internvl_2_5_8b,svar_native,0.869790823211876,0.006071846807447766,0.5373208901074216,0.011426294603283193
internvl_2_5_8b,metatoken_lr,0.8337825332562175,1.1102230246251565e-16,0.46957987636182086,0.0
internvl_2_5_8b,metatoken_gb,0.848937728937729,0.00023749934211584624,0.5203163302840315,0.0014367400936722515
