model,variant,seed,AUROC,HALL_AUPR
qwen2_5_vl_7b,true_rms/visual,43,0.8806414308842804,0.4440402366081477
qwen2_5_vl_7b,true_rms/visual,44,0.8807493639657697,0.44240849347325845
qwen2_5_vl_7b,true_rms/visual,45,0.882152494025133,0.43489759640973774
qwen2_5_vl_7b,true_rms/visual_prompt_sum,43,0.8766479068691696,0.4688214040263851
qwen2_5_vl_7b,true_rms/visual_prompt_sum,44,0.8782669030915119,0.443913833307952
qwen2_5_vl_7b,true_rms/visual_prompt_sum,45,0.873086115180017,0.4670631585055569
qwen2_5_vl_7b,true_rms/generation,43,0.8226659471127901,0.33906187078344857
qwen2_5_vl_7b,true_rms/generation,44,0.8216020353095367,0.3876723039072004
qwen2_5_vl_7b,true_rms/generation,45,0.8217639349317709,0.33658552472575515
qwen2_5_vl_7b,true_rms/vp_generation,43,0.8778351707655538,0.4667687722550048
qwen2_5_vl_7b,true_rms/vp_generation,44,0.8723151645979492,0.4519058706549551
qwen2_5_vl_7b,true_rms/vp_generation,45,0.8802096985583224,0.47743035600027534
qwen2_5_vl_7b,frozen_rms/visual,43,0.878189808033305,0.4239853080525955
qwen2_5_vl_7b,frozen_rms/visual,44,0.8823529411764706,0.4264242793814972
qwen2_5_vl_7b,frozen_rms/visual,45,0.8841723845501501,0.4330008944055125
qwen2_5_vl_7b,frozen_rms/visual_prompt_sum,43,0.8702490170380078,0.4576434859375266
qwen2_5_vl_7b,frozen_rms/visual_prompt_sum,44,0.8663480070927454,0.45774572136669844
qwen2_5_vl_7b,frozen_rms/visual_prompt_sum,45,0.8683987356410454,0.4486266962079571
qwen2_5_vl_7b,frozen_rms/generation,43,0.8314856217716444,0.3923938739850124
qwen2_5_vl_7b,frozen_rms/generation,44,0.8279546681057746,0.4107496607986271
qwen2_5_vl_7b,frozen_rms/generation,45,0.8137383393724462,0.3449937814604146
qwen2_5_vl_7b,frozen_rms/vp_generation,43,0.8689846580834166,0.46236662545271373
qwen2_5_vl_7b,frozen_rms/vp_generation,44,0.8723305836095906,0.49024942885286477
qwen2_5_vl_7b,frozen_rms/vp_generation,45,0.8675044329658469,0.45508532024051224
llava_1_5_7b,true_rms/visual,43,0.8988051569484795,0.6832529924440741
llava_1_5_7b,true_rms/visual,44,0.8962814606137081,0.6748902231852343
llava_1_5_7b,true_rms/visual,45,0.8979150159931918,0.6874786453526254
llava_1_5_7b,true_rms/visual_prompt_sum,43,0.8942346255049839,0.6790096517840882
llava_1_5_7b,true_rms/visual_prompt_sum,44,0.8950147215619528,0.6738310074564406
