model,variant,index,best_epochs,activation,batch_norm,batch_size,dropout,learning_rate,lr_patience,max_epochs,monitor,patience,standardize,weight_decay,width
qwen2_5_vl_7b,true_rms/visual,11,30/31/22,gelu,True,256,0.5,0.003,6,150,val_loss,20,True,1e-06,256
qwen2_5_vl_7b,true_rms/visual_prompt_sum,15,45/45/32,gelu,True,128,0.3,0.01,6,150,val_loss,20,True,0.0001,1024
qwen2_5_vl_7b,true_rms/generation,18,34/48/61,gelu,True,64,0.1,0.01,6,150,val_auroc,20,False,0.0,512
qwen2_5_vl_7b,true_rms/vp_generation,12,89/51/94,relu,True,512,0.3,0.001,6,150,val_auroc,20,False,0.001,128
qwen2_5_vl_7b,frozen_rms/visual,11,28/32/22,gelu,True,256,0.5,0.003,6,150,val_loss,20,True,1e-06,256
qwen2_5_vl_7b,frozen_rms/visual_prompt_sum,19,78/57/67,relu,False,256,0.3,0.003,6,150,val_auroc,20,True,0.0001,128
qwen2_5_vl_7b,frozen_rms/generation,20,17/14/31,relu,True,128,0.0,0.001,6,150,val_auroc,20,True,1e-06,1024
qwen2_5_vl_7b,frozen_rms/vp_generation,12,70/117/73,relu,True,512,0.3,0.001,6,150,val_auroc,20,False,0.001,128
llava_1_5_7b,true_rms/visual,19,24/17/20,relu,False,256,0.3,0.003,6,150,val_auroc,20,True,0.0001,128
llava_1_5_7b,true_rms/visual_prompt_sum,20,33/29/10,relu,True,128,0.0,0.001,6,150,val_auroc,20,True,1e-06,1024
llava_1_5_7b,true_rms/generation,13,24/43/44,gelu,True,256,0.5,0.001,6,150,val_auroc,20,False,0.0001,512
llava_1_5_7b,true_rms/vp_generation,12,61/53/70,relu,True,512,0.3,0.001,6,150,val_auroc,20,False,0.001,128
llava_1_5_7b,frozen_rms/visual,19,12/19/20,relu,False,256,0.3,0.003,6,150,val_auroc,20,True,0.0001,128
llava_1_5_7b,frozen_rms/visual_prompt_sum,20,33/29/10,relu,True,128,0.0,0.001,6,150,val_auroc,20,True,1e-06,1024
llava_1_5_7b,frozen_rms/generation,13,30/43/24,gelu,True,256,0.5,0.001,6,150,val_auroc,20,False,0.0001,512
llava_1_5_7b,frozen_rms/vp_generation,12,47/50/70,relu,True,512,0.3,0.001,6,150,val_auroc,20,False,0.001,128
qwen3_vl_8b,true_rms/visual,21,72/65/69,gelu,True,512,0.1,0.0003,6,150,val_loss,20,True,0.001,248
qwen3_vl_8b,true_rms/visual_prompt_sum,4,66/66/87,relu,True,256,0.1,0.001,6,150,val_loss,20,False,1e-05,512
qwen3_vl_8b,true_rms/generation,15,45/27/36,gelu,True,128,0.3,0.01,6,150,val_loss,20,True,0.0001,1024
qwen3_vl_8b,true_rms/vp_generation,12,109/83/88,relu,True,512,0.3,0.001,6,150,val_auroc,20,False,0.001,128
qwen3_vl_8b,frozen_rms/visual,21,72/65/69,gelu,True,512,0.1,0.0003,6,150,val_loss,20,True,0.001,248
qwen3_vl_8b,frozen_rms/visual_prompt_sum,20,62/49/42,relu,True,128,0.0,0.001,6,150,val_auroc,20,True,1e-06,1024
qwen3_vl_8b,frozen_rms/generation,2,27/60/50,relu,True,256,0.1,0.001,6,150,val_loss,20,False,1e-05,248
qwen3_vl_8b,frozen_rms/vp_generation,12,75/83/93,relu,True,512,0.3,0.001,6,150,val_auroc,20,False,0.001,128
internvl_2_5_8b,true_rms/visual,20,21/19/34,relu,True,128,0.0,0.001,6,150,val_auroc,20,True,1e-06,1024
internvl_2_5_8b,true_rms/visual_prompt_sum,19,46/79/53,relu,False,256,0.3,0.003,6,150,val_auroc,20,True,0.0001,128
internvl_2_5_8b,true_rms/generation,20,17/24/26,relu,True,128,0.0,0.001,6,150,val_auroc,20,True,1e-06,1024
internvl_2_5_8b,true_rms/vp_generation,21,48/62/62,gelu,True,512,0.1,0.0003,6,150,val_loss,20,True,0.001,248
internvl_2_5_8b,frozen_rms/visual,13,47/39/45,gelu,True,256,0.5,0.001,6,150,val_auroc,20,False,0.0001,512
internvl_2_5_8b,frozen_rms/visual_prompt_sum,15,47/47/48,gelu,True,128,0.3,0.01,6,150,val_loss,20,True,0.0001,1024
internvl_2_5_8b,frozen_rms/generation,20,17/15/24,relu,True,128,0.0,0.001,6,150,val_auroc,20,True,1e-06,1024
internvl_2_5_8b,frozen_rms/vp_generation,21,48/62/63,gelu,True,512,0.1,0.0003,6,150,val_loss,20,True,0.001,248
