model,variant,seed,best_epoch,epochs,validation_loss,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
qwen2_5_vl_7b,true_rms/visual,43,30,150,0.24090875685214996,0.8864179259490055,0.5159728886502662,0.8795775190810269,0.4233058192133956
qwen2_5_vl_7b,true_rms/visual,44,31,150,0.24282445013523102,0.885048294126811,0.5128217099254597,0.8815357335594789,0.43157893726884444
qwen2_5_vl_7b,true_rms/visual,45,21,150,0.2417367547750473,0.8823934153814198,0.49813111307029206,0.877665561637499,0.411876158228692
llava_1_5_7b,true_rms/vp_generation,43,72,150,0.3181997835636139,0.908740738785351,0.7360514954066029,0.8996317164069607,0.71847642327075
llava_1_5_7b,true_rms/vp_generation,44,50,150,0.31822746992111206,0.90799940165074,0.7422244841093913,0.9001134685173773,0.7197069534577479
llava_1_5_7b,true_rms/vp_generation,45,38,150,0.3228536546230316,0.9051748411734685,0.7331503396441662,0.8983429683755417,0.7147308023087814
qwen3_vl_8b,true_rms/vp_generation,43,74,150,0.2910335063934326,0.8996943683902823,0.6735716631832878,0.9297289256198348,0.71903619452729
qwen3_vl_8b,true_rms/vp_generation,44,69,150,0.2865411937236786,0.90440040056264,0.6795932544791963,0.9304264462809917,0.7224115571562472
qwen3_vl_8b,true_rms/vp_generation,45,67,150,0.2886885702610016,0.9024902030019044,0.6738892591625743,0.9289950413223139,0.7214180297102659
internvl_2_5_8b,true_rms/vp_generation,43,83,150,0.3157937824726105,0.8563576945929887,0.5869137454463813,0.8807547715442452,0.5743989806377664
internvl_2_5_8b,true_rms/vp_generation,44,93,150,0.3147188127040863,0.8590909090909091,0.586590749596158,0.885052053209948,0.5848568184799474
internvl_2_5_8b,true_rms/vp_generation,45,59,150,0.3189517855644226,0.8523321449792036,0.5815508530904635,0.8784933487565066,0.5697100453164338
