model,seed,total_layers,layer_start,layer_end_exclusive,selected_layers,input_dim,best_epoch,AUROC,HALL_AUPR
qwen2_5_vl_7b,43,28,1,16,15,420,8,0.8612134762161746,0.4082302318498929
qwen2_5_vl_7b,44,28,1,16,15,420,8,0.8605658777272378,0.40297768761977254
qwen2_5_vl_7b,45,28,1,16,15,420,8,0.8640968313931077,0.418614445498402
llava_1_5_7b,43,32,1,18,17,544,13,0.9019891226731616,0.6987878232895176
llava_1_5_7b,44,32,1,18,17,544,11,0.9007223836214064,0.7004980771061525
llava_1_5_7b,45,32,1,18,17,544,15,0.9029330633565161,0.7041503623512727
qwen3_vl_8b,43,36,1,20,19,608,22,0.8955074380165289,0.6277413724949442
qwen3_vl_8b,44,36,1,20,19,608,30,0.895100826446281,0.6114902301207794
qwen3_vl_8b,45,36,1,20,19,608,21,0.8942545454545455,0.6286418465172471
internvl_2_5_8b,43,32,1,18,17,544,15,0.8768449971081551,0.5593556434356614
internvl_2_5_8b,44,32,1,18,17,544,9,0.8666425679583575,0.5344898499906325
internvl_2_5_8b,45,32,1,18,17,544,10,0.867515905147484,0.5336434440464658
