model,regime,hidden_dim,seed,AUROC,HALL_AUPR,best_epoch
qwen2_5_vl_7b,fixed_split,248,43,0.8715904710508056,0.4799360076314257,9
qwen2_5_vl_7b,fixed_split,248,44,0.8764937167527562,0.4658952656688037,11
qwen2_5_vl_7b,fixed_split,248,45,0.872037622388405,0.4658642915399528,8
qwen2_5_vl_7b,fixed_split,256,43,0.8710508056433582,0.4755895738784838,9
qwen2_5_vl_7b,fixed_split,256,44,0.8772492483231825,0.4799109214086028,11
qwen2_5_vl_7b,fixed_split,256,45,0.870649911340683,0.46492402322340615,8
qwen2_5_vl_7b,joint_split_training,248,43,0.8653243274053808,0.3802553441756405,7
qwen2_5_vl_7b,joint_split_training,248,44,0.8688846468502864,0.4238867104075963,20
qwen2_5_vl_7b,joint_split_training,248,45,0.8853315064322145,0.46003267431470257,10
qwen2_5_vl_7b,joint_split_training,256,43,0.8669488144094848,0.38349654933473293,7
qwen2_5_vl_7b,joint_split_training,256,44,0.8686664848650123,0.43481673440531937,16
qwen2_5_vl_7b,joint_split_training,256,45,0.8852706097282484,0.4940318620209558,20
llava_1_5_7b,fixed_split,248,43,0.9041142119318015,0.7022238915782688,21
llava_1_5_7b,fixed_split,248,44,0.9049432168324676,0.7140602998904797,11
llava_1_5_7b,fixed_split,248,45,0.9042853928847414,0.7126386297471076,16
llava_1_5_7b,fixed_split,256,43,0.9026273830834091,0.6983972617212588,21
llava_1_5_7b,fixed_split,256,44,0.9043832105721357,0.7115933781920705,16
llava_1_5_7b,fixed_split,256,45,0.9029697449892888,0.7058908280906985,21
llava_1_5_7b,joint_split_training,248,43,0.9078429623462478,0.7258716759759865,16
llava_1_5_7b,joint_split_training,248,44,0.9127888784023175,0.7662308067227038,18
llava_1_5_7b,joint_split_training,248,45,0.8945812573902739,0.6831858491097792,9
llava_1_5_7b,joint_split_training,256,43,0.9082642006878574,0.7256689501355609,16
llava_1_5_7b,joint_split_training,256,44,0.910530340118201,0.7664263372979117,13
llava_1_5_7b,joint_split_training,256,45,0.8962236793752297,0.6914859406580598,12
qwen3_vl_8b,fixed_split,248,43,0.8919603305785124,0.6281343291153266,22
qwen3_vl_8b,fixed_split,248,44,0.8864859504132231,0.621254135190411,19
qwen3_vl_8b,fixed_split,248,45,0.8900925619834712,0.6303506259395955,21
qwen3_vl_8b,fixed_split,256,43,0.8870314049586777,0.6104898776536432,22
qwen3_vl_8b,fixed_split,256,44,0.8869586776859504,0.6031984426905888,19
qwen3_vl_8b,fixed_split,256,45,0.886499173553719,0.6159955671032685,21
qwen3_vl_8b,joint_split_training,248,43,0.8699003852695151,0.585357830115223,16
qwen3_vl_8b,joint_split_training,248,44,0.868453742533994,0.6052731970740197,21
qwen3_vl_8b,joint_split_training,248,45,0.8595417994133648,0.5581772472337314,20
qwen3_vl_8b,joint_split_training,256,43,0.8621811113810698,0.5594331809555437,8
qwen3_vl_8b,joint_split_training,256,44,0.8696673656118947,0.5881134650766141,21
qwen3_vl_8b,joint_split_training,256,45,0.8641444239735548,0.5721940349849534,25
internvl_2_5_8b,fixed_split,248,43,0.8649016772700984,0.5312697419119368,5
internvl_2_5_8b,fixed_split,248,44,0.866122035858878,0.5273704086920761,6
internvl_2_5_8b,fixed_split,248,45,0.8783487565066512,0.5533225197182519,14
internvl_2_5_8b,fixed_split,256,43,0.880801041064199,0.5565671382446105,12
internvl_2_5_8b,fixed_split,256,44,0.8737507229612493,0.5456928498670705,9
internvl_2_5_8b,fixed_split,256,45,0.8793782533256218,0.5503624527917189,14
internvl_2_5_8b,joint_split_training,248,43,0.862934833731078,0.4996229918183867,16
internvl_2_5_8b,joint_split_training,248,44,0.8687032195887652,0.5365098887142632,11
internvl_2_5_8b,joint_split_training,248,45,0.8754993757802746,0.5866357865336332,12
internvl_2_5_8b,joint_split_training,256,43,0.8610128846075682,0.4939774409690566,16
internvl_2_5_8b,joint_split_training,256,44,0.8694072701880737,0.5323442776619892,11
internvl_2_5_8b,joint_split_training,256,45,0.8748865055044831,0.5891793282458482,12
