model,seed,total_layers,layer_start,layer_end_exclusive,selected_layers,input_dim,best_epoch,AUROC,HALL_AUPR
qwen2_5_vl_7b,43,28,4,17,13,364,8,0.8614601804024362,0.42803186651731007
qwen2_5_vl_7b,44,28,4,17,13,364,11,0.8705882352941177,0.4513156915086258
qwen2_5_vl_7b,45,28,4,17,13,364,8,0.8639272222650527,0.43384848772699125
llava_1_5_7b,43,32,5,19,14,448,21,0.9041655662176835,0.7066480178215093
llava_1_5_7b,44,32,5,19,14,448,11,0.9039674854007103,0.7125666249521695
llava_1_5_7b,45,32,5,19,14,448,21,0.9038965675773494,0.715292998313469
qwen3_vl_8b,43,36,6,21,15,480,20,0.891993388429752,0.6259291085617624
qwen3_vl_8b,44,36,6,21,15,480,30,0.8935867768595042,0.6458882587635345
qwen3_vl_8b,45,36,6,21,15,480,21,0.8937355371900826,0.6380896443162596
internvl_2_5_8b,43,32,5,19,14,448,12,0.8788577212261421,0.5584068708431453
internvl_2_5_8b,44,32,5,19,14,448,9,0.8727964141122035,0.5388439975652158
internvl_2_5_8b,45,32,5,19,14,448,14,0.8778282244071717,0.5508514474077683
