model,seed,total_layers,layer_start,layer_end_exclusive,selected_layers,input_dim,best_epoch,AUROC,HALL_AUPR
qwen2_5_vl_7b,42,28,4,17,13,364,8,0.8661938169763318,0.4377494117856513
qwen2_5_vl_7b,43,28,4,17,13,364,8,0.8614601804024362,0.42803186651731007
qwen2_5_vl_7b,44,28,4,17,13,364,11,0.8705882352941177,0.4513156915086258
llava_1_5_7b,42,32,5,19,14,448,19,0.9044663556064209,0.7179228898218223
llava_1_5_7b,43,32,5,19,14,448,21,0.9041655662176835,0.7066480178215093
llava_1_5_7b,44,32,5,19,14,448,11,0.9039674854007103,0.7125666249521695
qwen3_vl_8b,42,36,6,21,15,480,35,0.891404958677686,0.6565553434244621
qwen3_vl_8b,43,36,6,21,15,480,20,0.891993388429752,0.6259291085617624
qwen3_vl_8b,44,36,6,21,15,480,30,0.8935867768595042,0.6458882587635345
internvl_2_5_8b,42,32,5,19,14,448,17,0.883849045691151,0.5612314966937445
internvl_2_5_8b,43,32,5,19,14,448,12,0.8788577212261421,0.5584068708431453
internvl_2_5_8b,44,32,5,19,14,448,9,0.8727964141122035,0.5388439975652158
