model,seed,total_layers,layer_start,layer_end_exclusive,selected_layers,input_dim,best_epoch,AUROC,HALL_AUPR
qwen2_5_vl_7b,42,28,4,17,13,364,2,0.8521933544059824,0.38816975671279785
qwen2_5_vl_7b,43,28,4,17,13,364,2,0.8500346927761931,0.4104882317752868
qwen2_5_vl_7b,44,28,4,17,13,364,2,0.8535348084187804,0.38504745797761847
llava_1_5_7b,42,32,5,19,14,448,2,0.9027080826755094,0.7033714293101202
llava_1_5_7b,43,32,5,19,14,448,3,0.9006759202198942,0.7108566227179419
llava_1_5_7b,44,32,5,19,14,448,4,0.9029477360096252,0.6974242262231906
qwen3_vl_8b,42,36,6,21,15,480,2,0.8961024793388429,0.6477722249181889
qwen3_vl_8b,43,36,6,21,15,480,1,0.8873256198347108,0.6285473121608114
qwen3_vl_8b,44,36,6,21,15,480,2,0.8944528925619835,0.6224467597422282
internvl_2_5_8b,42,32,5,19,14,448,3,0.8844794679005206,0.5612083224412611
internvl_2_5_8b,43,32,5,19,14,448,2,0.8684933487565067,0.5347763603573096
internvl_2_5_8b,44,32,5,19,14,448,1,0.860373048004627,0.5002113139575394
