model,signal,top_k,label,layer,n_mentions,mean,q25,median,q75
qwen2_5_vl_7b,raw_attention,16,HALL,1,916,0.5278248327528025,0.47610514611005783,0.5256982147693634,0.5777158886194229
qwen2_5_vl_7b,raw_attention,16,HALL,2,916,0.45959826171658447,0.406087689101696,0.4562283158302307,0.511630192399025
qwen2_5_vl_7b,raw_attention,16,HALL,3,916,0.31932854214805184,0.2791563645005226,0.313180148601532,0.35389409959316254
qwen2_5_vl_7b,raw_attention,16,HALL,4,916,0.32114569035940294,0.27097270637750626,0.31145161390304565,0.3566467836499214
qwen2_5_vl_7b,raw_attention,16,HALL,5,916,0.2799183694263473,0.23099681362509727,0.26533089578151703,0.31466808915138245
qwen2_5_vl_7b,raw_attention,16,HALL,6,916,0.25410176935609774,0.18521448224782944,0.22662358731031418,0.2936479523777962
qwen2_5_vl_7b,raw_attention,16,HALL,7,916,0.25690021709128236,0.21109196543693542,0.24752138555049896,0.29415709525346756
qwen2_5_vl_7b,raw_attention,16,HALL,8,916,0.21559515368502474,0.1720748320221901,0.20418022572994232,0.24420300871133804
qwen2_5_vl_7b,raw_attention,16,HALL,9,916,0.3078803181583184,0.22469960525631905,0.28134097158908844,0.3714827299118042
qwen2_5_vl_7b,raw_attention,16,HALL,10,916,0.310061310332545,0.23905261233448982,0.2961612641811371,0.35860637575387955
qwen2_5_vl_7b,raw_attention,16,HALL,11,916,0.24274365756839644,0.19651196151971817,0.23222658783197403,0.274673193693161
qwen2_5_vl_7b,raw_attention,16,HALL,12,916,0.3564960049001671,0.2675859108567238,0.3383765071630478,0.43308329582214355
qwen2_5_vl_7b,raw_attention,16,HALL,13,916,0.350840790026443,0.26977159082889557,0.3407256603240967,0.41958989202976227
qwen2_5_vl_7b,raw_attention,16,HALL,14,916,0.3185662085832987,0.245343629270792,0.3012489825487137,0.375582218170166
qwen2_5_vl_7b,raw_attention,16,HALL,15,916,0.482078083916913,0.37478815764188766,0.47471436858177185,0.587377518415451
