model,signal,top_k,layers,n_hall,n_real,hall_higher_layers,real_higher_layers,equal_layers,median_hall_minus_real,mean_hall_minus_real,mean_absolute_gap,largest_absolute_gap,largest_gap_layer,hall_minus_real_at_largest_gap
qwen2_5_vl_7b,raw_attention,16,28,916,7801,21,7,0,0.03497324138879776,0.036638153450829644,0.04399817117622921,0.1118147075176239,22,0.1118147075176239
qwen2_5_vl_7b,raw_attention,32,28,916,7801,19,9,0,0.030519843101501465,0.027255757046597346,0.03822026348539761,0.09490478038787842,22,0.09490478038787842
qwen2_5_vl_7b,ae,16,28,916,7801,21,7,0,0.03931945562362671,0.03588831265057836,0.04356838922415461,0.10178795456886292,22,0.10178795456886292
qwen2_5_vl_7b,ae,32,28,916,7801,20,8,0,0.03167495131492615,0.024126818669693812,0.035061996430158615,0.07949936389923096,22,0.07949936389923096
llava_1_5_7b,raw_attention,16,32,3487,11976,23,9,0,0.008637621998786926,0.019248504657298326,0.027088025119155645,0.10196325182914734,7,0.10196325182914734
llava_1_5_7b,raw_attention,32,32,3487,11976,16,16,0,0.0025948546826839447,0.008493892149999738,0.024034174857661128,0.06942513585090637,7,0.06942513585090637
llava_1_5_7b,ae,16,32,3487,11976,18,14,0,0.008416123688220978,0.01579443900845945,0.02671221666969359,0.08908891677856445,7,0.08908891677856445
llava_1_5_7b,ae,32,32,3487,11976,16,16,0,-0.002231348305940628,0.0024551295209676027,0.024726992240175605,0.057779550552368164,7,0.057779550552368164
qwen3_vl_8b,raw_attention,16,36,2593,12280,25,11,0,0.025689780712127686,0.020876438667376835,0.03693485218617651,0.07624468207359314,24,0.07624468207359314
qwen3_vl_8b,raw_attention,32,36,2593,12280,23,13,0,0.01419493556022644,0.0076757992307345075,0.026581147478686437,0.06408941745758057,7,-0.06408941745758057
qwen3_vl_8b,ae,16,36,2593,12280,25,11,0,0.024662718176841736,0.017352861248784594,0.03770265852411588,0.07914657890796661,7,-0.07914657890796661
qwen3_vl_8b,ae,32,36,2593,12280,24,12,0,0.013084620237350464,0.002968194997972912,0.024852435208029218,0.07568839192390442,7,-0.07568839192390442
internvl_2_5_8b,raw_attention,16,32,1766,9993,22,10,0,0.013171561062335968,0.01771778892725706,0.023467854596674442,0.0903724730014801,16,0.0903724730014801
internvl_2_5_8b,raw_attention,32,32,1766,9993,20,12,0,0.006247326731681824,0.010467743966728449,0.018517115619033575,0.07389333844184875,16,0.07389333844184875
internvl_2_5_8b,ae,16,32,1766,9993,22,10,0,0.01140933483839035,0.013687915168702602,0.023627174086868763,0.08502435684204102,16,0.08502435684204102
internvl_2_5_8b,ae,32,32,1766,9993,16,16,0,-0.0007004588842391968,0.0032971221953630447,0.017750844359397888,0.062436461448669434,16,0.062436461448669434
