model,group,seed,input_dim,best_epoch,trained_epochs,validation_loss,validation_AUROC,validation_HALL_AUPR,test_AUROC,test_HALL_AUPR
qwen2_5_vl_7b,visual,43,56,30,150,0.24090875685214996,0.8864179259490055,0.5159728886502662,0.8795775190810269,0.4233058192133956
qwen2_5_vl_7b,visual,44,56,31,150,0.24282445013523102,0.885048294126811,0.5128217099254597,0.8815357335594789,0.43157893726884444
qwen2_5_vl_7b,visual,45,56,21,150,0.2417367547750473,0.8823934153814198,0.49813111307029206,0.877665561637499,0.411876158228692
qwen2_5_vl_7b,vp_generation,43,112,9,150,0.26324570178985596,0.85122293192086,0.46737602774238857,0.8626011872638963,0.4536046904391561
qwen2_5_vl_7b,vp_generation,44,112,16,150,0.27107343077659607,0.8516902944383861,0.45494665527957673,0.8706807493639657,0.46604968775773054
qwen2_5_vl_7b,vp_generation,45,112,8,150,0.2700613737106323,0.8435503972581397,0.4287199584239571,0.8671652147097371,0.4664840026480758
llava_1_5_7b,visual,43,64,46,150,0.3339082896709442,0.8975810851239814,0.7220709124632763,0.8953399653725387,0.6808796686630766
llava_1_5_7b,visual,44,64,60,150,0.33305051922798157,0.8984500114390299,0.721460164144419,0.8976900353121852,0.6851353097763271
llava_1_5_7b,visual,45,64,67,150,0.3345605731010437,0.8970839272829665,0.7204602348758918,0.8983845408926842,0.6869597143248305
llava_1_5_7b,vp_generation,43,128,72,150,0.3181997835636139,0.908740738785351,0.7360514954066029,0.8996317164069607,0.71847642327075
llava_1_5_7b,vp_generation,44,128,50,150,0.31822746992111206,0.90799940165074,0.7422244841093913,0.9001134685173773,0.7197069534577479
llava_1_5_7b,vp_generation,45,128,38,150,0.3228536546230316,0.9051748411734685,0.7331503396441662,0.8983429683755417,0.7147308023087814
qwen3_vl_8b,visual,43,72,88,150,0.30429109930992126,0.8868511840330637,0.641872217595373,0.8984528925619835,0.6767972648489056
qwen3_vl_8b,visual,44,72,105,150,0.3040499985218048,0.8875009406275867,0.6425785999969527,0.9013818181818182,0.6782016131079837
qwen3_vl_8b,visual,45,72,81,150,0.30354544520378113,0.8880537402247087,0.6424668642673536,0.9001719008264463,0.67832182621655
qwen3_vl_8b,vp_generation,43,144,74,150,0.2910335063934326,0.8996943683902823,0.6735716631832878,0.9297289256198348,0.71903619452729
qwen3_vl_8b,vp_generation,44,144,69,150,0.2865411937236786,0.90440040056264,0.6795932544791963,0.9304264462809917,0.7224115571562472
qwen3_vl_8b,vp_generation,45,144,67,150,0.2886885702610016,0.9024902030019044,0.6738892591625743,0.9289950413223139,0.7214180297102659
internvl_2_5_8b,visual,43,64,76,150,0.3354780375957489,0.8398593780946721,0.5175412734819588,0.8562377096587623,0.5334104304584895
internvl_2_5_8b,visual,44,64,84,150,0.33549070358276367,0.8398049118637355,0.5210408941807743,0.8544852515905149,0.5301220749459586
internvl_2_5_8b,visual,45,64,65,150,0.33631059527397156,0.8383392751039811,0.5181207755504851,0.852727009832273,0.5279467049142554
internvl_2_5_8b,vp_generation,43,128,83,150,0.3157937824726105,0.8563576945929887,0.5869137454463813,0.8807547715442452,0.5743989806377664
internvl_2_5_8b,vp_generation,44,128,93,150,0.3147188127040863,0.8590909090909091,0.586590749596158,0.885052053209948,0.5848568184799474
internvl_2_5_8b,vp_generation,45,128,59,150,0.3189517855644226,0.8523321449792036,0.5815508530904635,0.8784933487565066,0.5697100453164338
